eco	name	pgn	uci	epd
C40	King's Knight Opening	1. e4 e5 2. Nf3	e2e4 e7e5 g1f3	rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -
C23	Bishop's Opening	1. e4 e5 2. Bc4	e2e4 e7e5 f1c4	rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq -
C21	Danish Gambit Accepted	1. e4 e5 2. d4 exd4 3. c3 dxc3	e2e4 e7e5 d2d4 e5d4 c2c3 d4c3	rnbqkbnr/pppp1ppp/8/8/4P3/2p5/PP3PPP/RNBQKBNR w KQkq -
B02	Alekhine Defense	1. e4 Nf6	e2e4 g8f6	rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Lemming Defense	1. e4 Na6	e2e4 b8a6	r1bqkbnr/pppppppp/n7/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Hippopotamus Defense	1. e4 Nh6	e2e4 g8h6	rnbqkb1r/pppppppp/7n/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A48	East Indian Defense	1. d4 Nf6 2. Nf3 g6	d2d4 g8f6 g1f3 g7g6	rnbqkb1r/pppppp1p/5np1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -
A40	Kangaroo Defense	1. d4 e6 2. c4 Bb4+	d2d4 e7e6 c2c4 f8b4	rnbqk1nr/pppp1ppp/4p3/8/1bPP4/8/PP2PPPP/RNBQKBNR w KQkq -
A00	Global Opening	1. h3 e5 2. a3	h2h3 e7e5 a2a3	rnbqkbnr/pppp1ppp/8/4p3/8/P6P/1PPPPPP1/RNBQKBNR b KQkq -
E11	Bogo-Indian Defense	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+	d2d4 g8f6 c2c4 e7e6 g1f3 f8b4	rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP2PPPP/RNBQKB1R w KQkq -
C41	Philidor Defense	1. e4 e5 2. Nf3 d6	e2e4 e7e5 g1f3 d7d6	rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -
C40	Latvian Gambit Accepted	1. e4 e5 2. Nf3 f5 3. exf5	e2e4 e7e5 g1f3 f7f5 e4f5	rnbqkbnr/pppp2pp/8/4pP2/8/5N2/PPPP1PPP/RNBQKB1R b KQkq -
C00	French Defense	1. e4 e6	e2e4 e7e6	rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Carr Defense	1. e4 h6	e2e4 h7h6	rnbqkbnr/ppppppp1/7p/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A56	Vulture Defense	1. d4 Nf6 2. c4 c5 3. d5 Ne4	d2d4 g8f6 c2c4 c7c5 d4d5 f6e4	rnbqkb1r/pp1ppppp/8/2pP4/2P1n3/8/PP2PPPP/RNBQKBNR w KQkq -
A47	Pseudo Queen's Indian Defense	1. d4 Nf6 2. Nf3 b6	d2d4 g8f6 g1f3 b7b6	rnbqkb1r/p1pppppp/1p3n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -
A47	Marienbad System	1. d4 Nf6 2. Nf3 b6 3. g3 Bb7 4. Bg2 c5	d2d4 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5	rn1qkb1r/pb1ppppp/1p3n2/2p5/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq -
B06	Modern Defense	1. e4 g6	e2e4 g7g6	rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A00	Ware Opening	1. a4	a2a4	rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq -
A00	Mieses Opening	1. d3	d2d3	rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq -
A00	Grob Opening	1. g4	g2g4	rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -
B10	Caro-Kann Defense	1. e4 c6	e2e4 c7c6	rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Borg Defense	1. e4 g5	e2e4 g7g5	rnbqkbnr/pppppp1p/8/6p1/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A80	Dutch Defense	1. d4 f5	d2d4 f7f5	rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
